date,state,total_cases,total_deaths
28/3/2020,KELANTAN,108,2
28/3/2020,SABAH,197,1
28/3/2020,SARAWAK,118,5
28/3/2020,WP KUALA LUMPUR,344,4
28/3/2020,WP PUTRAJAYA,20,0
28/3/2020,WP LABUAN,10,0
29/3/2020,PERLIS,10,1
29/3/2020,KEDAH,75,1
29/3/2020,PULAU PINANG,87,1
29/3/2020,PERAK,176,3
29/3/2020,SELANGOR,612,1
29/3/2020,NEGERI SEMBILAN,162,1
29/3/2020,MELAKA,43,1
29/3/2020,JOHOR,309,10
29/3/2020,PAHANG,96,0
29/3/2020,TERENGGANU,47,0
29/3/2020,KELANTAN,123,2
29/3/2020,SABAH,197,1
29/3/2020,SARAWAK,129,5
29/3/2020,WP KUALA LUMPUR,372,7
29/3/2020,WP PUTRAJAYA,22,0
29/3/2020,WP LABUAN,10,0
30/3/2020,PERLIS,11,1
30/3/2020,KEDAH,77,1
30/3/2020,PULAU PINANG,88,1
30/3/2020,PERAK,184,3
30/3/2020,SELANGOR,672,2
30/3/2020,NEGERI SEMBILAN,172,1
30/3/2020,MELAKA,50,1
30/3/2020,JOHOR,333,10
30/3/2020,PAHANG,99,0
30/3/2020,TERENGGANU,47,0
30/3/2020,KELANTAN,127,2
30/3/2020,SABAH,201,1
30/3/2020,SARAWAK,135,7
30/3/2020,WP KUALA LUMPUR,396,7
30/3/2020,WP PUTRAJAYA,24,0
30/3/2020,WP LABUAN,10,0
31/3/2020,PERLIS,12,1
31/3/2020,KEDAH,77,1
31/3/2020,PULAU PINANG,94,1
31/3/2020,PERAK,189,3
31/3/2020,SELANGOR,704,3
31/3/2020,NEGERI SEMBILAN,181,2
31/3/2020,MELAKA,52,1
31/3/2020,JOHOR,349,10
31/3/2020,PAHANG,102,0
31/3/2020,TERENGGANU,47,0
31/3/2020,KELANTAN,131,2
31/3/2020,SABAH,206,1
31/3/2020,SARAWAK,156,8
31/3/2020,WP KUALA LUMPUR,430,9
31/3/2020,WP PUTRAJAYA,26,0
31/3/2020,WP LABUAN,10,0
1/4/2020,PERLIS,12,1
1/4/2020,KEDAH,79,1
1/4/2020,PULAU PINANG,96,1
1/4/2020,PERAK,194,3
1/4/2020,SELANGOR,726,3
1/4/2020,NEGERI SEMBILAN,189,2
1/4/2020,MELAKA,63,1
1/4/2020,JOHOR,368,10
1/4/2020,PAHANG,111,0
1/4/2020,TERENGGANU,48,0
1/4/2020,KELANTAN,134,2
1/4/2020,SABAH,209,1
1/4/2020,SARAWAK,188,8
1/4/2020,WP KUALA LUMPUR,455,11
1/4/2020,WP PUTRAJAYA,26,0
1/4/2020,WP LABUAN,10,0
2/4/2020,PERLIS,12,1
2/4/2020,KEDAH,80,1
2/4/2020,PULAU PINANG,98,1
2/4/2020,PERAK,200,3
2/4/2020,SELANGOR,800,3
2/4/2020,NEGERI SEMBILAN,207,3
2/4/2020,MELAKA,70,1
2/4/2020,JOHOR,395,13
2/4/2020,PAHANG,114,0
2/4/2020,TERENGGANU,50,0
2/4/2020,KELANTAN,137,2
2/4/2020,SABAH,210,1
2/4/2020,SARAWAK,211,9
2/4/2020,WP KUALA LUMPUR,488,11
2/4/2020,WP PUTRAJAYA,34,0
2/4/2020,WP LABUAN,10,0
3/4/2020,PERLIS,12,1
3/4/2020,KEDAH,81,1
3/4/2020,PULAU PINANG,98,1
3/4/2020,PERAK,205,4
3/4/2020,SELANGOR,863,4
3/4/2020,NEGERI SEMBILAN,211,4
3/4/2020,MELAKA,73,1
3/4/2020,JOHOR,416,13
3/4/2020,PAHANG,127,0
3/4/2020,TERENGGANU,68,0
3/4/2020,KELANTAN,137,2
3/4/2020,SABAH,215,1
3/4/2020,SARAWAK,239,9
3/4/2020,WP KUALA LUMPUR,543,11
3/4/2020,WP PUTRAJAYA,35,0
3/4/2020,WP LABUAN,10,0
4/4/2020,PERLIS,12,1
4/4/2020,KEDAH,81,1
